net_tfa,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
-5000,43,22410,1,12,1,0,0,0,0,0,0
700,37,27072,5,9,0,1,1,0,0,0,0
0,47,21420,1,13,0,0,0,0,0,0,1
3550,57,34410,3,15,0,1,1,0,0,0,1
-3900,36,23700,4,12,0,1,1,0,0,0,1
-7350,30,19950,3,14,0,1,0,0,0,0,0
-2450,29,23274,3,12,0,0,0,0,0,0,0
41800,54,20019,3,13,0,1,0,0,0,1,1
-200,47,1200,2,15,0,0,0,0,0,0,0
16597,51,85980,2,18,0,1,0,0,0,1,1
4883,44,26472,4,12,0,1,0,0,0,0,1
8300,61,37911,5,12,0,1,1,0,0,0,1
-550,30,15822,4,15,0,1,0,0,0,0,1
11730,48,77913,2,14,1,1,1,0,0,0,1
90550,39,159696,2,16,0,1,1,0,0,1,1
-5500,36,25200,4,12,0,0,0,0,0,0,0
9918,39,23046,1,14,0,0,0,0,0,1,1
-120,26,15450,3,12,0,0,0,0,0,0,1
2050,37,25920,1,18,0,0,0,0,0,0,0
-3900,37,13839,1,16,0,0,0,0,0,0,1
-1002,32,10164,5,12,0,0,0,0,0,0,1
-3600,30,27624,1,12,1,0,0,0,0,0,1
-12465,50,41217,4,7,0,1,1,0,0,0,1
-6994,45,35565,3,12,0,0,0,0,0,0,0
-10275,30,57000,2,14,0,1,1,0,0,0,1
5000,41,54852,5,12,1,1,1,0,0,0,1
-19840,31,25002,4,12,0,1,1,0,0,0,0
1384,30,46398,4,16,0,1,1,0,0,0,1
0,46,18000,2,14,0,0,0,0,0,1,1
20700,38,33576,4,10,0,1,0,0,0,0,1
2250,25,3150,1,16,0,0,0,0,0,0,0
59498,46,64203,5,12,1,1,1,0,0,0,0
10,29,16194,3,12,0,0,0,0,0,0,1
1400,58,14400,5,4,0,1,0,0,0,0,1
10600,46,41622,5,11,0,1,0,0,0,1,1
-1068,42,60384,4,12,0,1,1,0,0,0,1
41302,63,46122,2,13,0,1,0,0,0,0,1
10055,34,41757,4,12,0,1,0,0,0,1,1
-100,40,58320,3,12,0,1,1,0,0,0,1
-5100,35,38244,3,16,0,1,1,0,0,0,0
-550,43,14292,3,12,0,1,0,0,0,0,1
-1400,37,24231,4,13,0,1,1,0,0,0,1
800,32,25314,1,12,0,0,0,0,0,0,0
-1847,54,4917,1,11,0,0,0,0,0,0,0
-50,30,12051,1,18,0,0,0,0,0,0,0
3000,53,30780,4,8,1,1,1,0,0,0,1
62800,57,61500,3,13,0,1,0,0,0,1,1
-9100,29,49200,2,17,0,1,1,0,0,0,1
0,49,11730,6,4,0,1,0,0,0,0,0
24999,49,63396,3,16,0,1,0,0,0,0,1
10,34,7329,1,16,0,0,0,0,0,0,0
0,26,17952,1,15,0,0,0,0,0,0,0
0,37,18942,4,14,0,0,0,0,0,0,0
-5000,25,27480,3,12,0,1,1,0,0,0,1
20,57,6885,2,12,0,0,0,0,0,0,1
200,28,17370,1,12,0,0,0,0,0,0,0
0,32,37593,4,16,1,1,1,0,0,0,0
-1345,63,16575,2,11,0,1,1,0,0,0,0
-3250,27,29766,2,14,0,1,0,0,0,0,1
11700,38,77124,1,17,0,0,0,0,0,1,1
3720,60,2307,2,10,0,0,0,0,0,0,1
-1600,28,29922,6,11,0,1,1,0,0,0,1
26600,38,80550,2,18,0,1,1,0,0,1,1
2700,44,32460,2,14,1,1,0,0,0,0,1
49,38,39420,4,14,0,1,1,0,0,0,1
0,42,18000,1,1,0,0,0,0,0,0,1
15599,61,19278,1,8,1,0,0,0,0,1,0
2905,51,19956,3,12,0,1,0,0,0,0,1
15970,37,7182,1,18,0,0,0,0,0,0,1
-86500,57,47193,2,12,0,1,1,0,0,0,0
-4200,27,13200,2,12,0,0,0,0,0,0,0
-2415,38,14892,5,12,0,1,1,0,0,0,0
0,29,13500,2,12,0,0,0,0,0,0,0
44,46,72099,2,16,0,1,0,0,0,0,1
90930,36,93648,2,18,0,1,1,0,0,1,0
4700,56,48690,3,12,1,1,1,0,0,1,1
-712,30,9009,4,6,0,1,0,0,0,0,0
-635,29,36213,6,9,0,1,1,0,0,0,0
0,26,10200,1,14,0,0,0,0,0,0,0
-2200,34,43716,3,12,1,1,1,0,0,0,0
-5055,59,9078,2,6,0,1,0,0,0,0,1
5399,31,13479,3,12,0,1,0,0,0,1,0
-2100,29,31569,4,17,0,1,0,0,0,0,1
600,49,17874,2,12,0,0,0,0,0,0,1
7299,31,43005,2,12,0,1,1,0,0,1,1
15100,33,33885,2,16,0,1,1,0,0,0,1
0,40,10260,1,12,0,0,0,0,0,0,0
31791,53,23721,1,13,1,0,0,0,0,1,1
-400,30,23118,1,16,1,0,0,0,0,0,0
-12000,32,25305,3,12,0,1,1,0,0,0,1
499,47,49206,4,16,0,1,1,0,0,0,1
4500,33,30075,3,6,0,1,1,0,0,0,1
-10525,30,35058,2,16,0,1,1,0,0,0,0
-170,43,15330,5,10,0,1,0,0,0,0,0
0,26,22080,3,12,1,0,0,0,0,0,0
1000,44,65400,4,16,1,1,1,0,0,0,0
-9764,43,11454,5,12,0,1,0,0,0,0,1
17075,35,30300,2,18,0,0,0,0,0,0,1
2010,48,29238,4,10,0,1,0,0,0,0,1
600,42,10428,3,12,0,0,0,0,0,0,1
41549,39,84111,1,18,1,0,0,0,0,1,1
26564,45,70035,2,10,0,0,0,0,0,0,0
0,40,10560,2,12,0,0,0,0,0,0,0
44763,62,40500,3,11,0,1,1,0,0,1,1
1600,36,31869,1,16,0,0,0,0,0,1,0
10029,30,21306,2,16,0,0,0,0,0,0,1
29715,35,74178,4,14,0,1,0,0,0,0,1
4144,44,47769,6,12,0,1,0,0,0,0,1
-18500,56,12024,2,12,0,0,0,0,0,0,1
0,35,2640,4,9,0,0,0,0,0,0,0
-1564,49,22395,5,12,1,1,1,0,0,0,1
385000,43,50484,3,12,0,0,0,0,0,1,1
-4000,45,42576,1,16,1,0,0,0,0,0,0
0,38,10443,4,12,0,0,0,0,0,0,0
1800,32,19224,1,14,1,0,0,0,0,0,0
1500,32,34455,3,13,0,1,1,0,0,1,1
-21070,27,33453,3,16,1,1,1,0,0,0,1
12500,44,21234,1,15,1,0,0,0,0,1,1
6000,32,21930,1,14,0,0,0,0,0,0,0
-5000,48,45165,3,12,0,1,1,0,0,0,1
-300,39,20760,2,12,0,1,1,0,0,0,1
-3900,31,27150,3,12,0,0,0,0,0,0,0
850,26,16116,3,13,0,1,0,0,0,0,0
-595,31,31536,4,12,1,1,1,0,0,0,1
12877,31,37461,4,12,0,1,1,0,0,0,1
60300,38,110181,5,12,0,1,1,0,0,1,0
30,35,24123,3,14,1,0,0,0,0,0,0
-15565,35,28782,5,13,0,1,1,0,0,0,1
1500,42,36666,3,18,0,1,1,0,0,0,1
300,44,72975,3,10,1,1,1,0,0,0,1
-5250,48,49656,3,12,0,1,1,0,0,0,0
-10491,36,36267,4,15,0,1,1,0,0,0,1
1300,35,55374,3,12,0,1,1,0,0,1,1
0,28,22833,3,12,0,0,0,0,0,0,0
-2000,37,69120,3,16,0,1,1,0,0,0,0
1000,34,24465,3,11,0,1,1,0,0,0,0
454,46,80862,5,17,1,1,1,0,0,0,1
209,30,33420,4,12,0,1,1,0,0,0,0
1460,54,7440,1,8,1,0,0,0,0,0,1
-9600,47,15141,2,12,0,1,0,0,0,0,1
4572,34,20667,4,12,0,1,1,0,0,1,0
25699,52,30870,3,13,0,1,1,0,0,0,1
2924,27,16860,1,12,0,0,0,0,0,0,0
0,43,16080,1,14,0,0,0,0,0,0,0
26000,40,52998,1,18,1,0,0,0,0,0,1
740,28,16830,1,13,1,0,0,0,0,0,0
4000,63,37320,2,8,0,1,0,0,0,0,1
1799,54,53133,3,18,0,1,1,0,0,0,0
100,35,28998,3,12,1,0,0,0,0,0,0
4500,59,7740,2,7,0,1,0,0,0,0,1
-300,33,13755,3,12,1,0,0,0,0,0,0
200,30,42315,2,14,0,1,1,0,0,0,1
200,58,20490,4,12,0,1,1,0,0,0,1
-397,35,21177,4,12,0,0,0,0,0,0,0
0,35,21735,4,12,0,1,1,0,0,0,0
-9550,42,12600,1,12,0,0,0,0,0,0,1
130812,59,45519,2,12,0,1,1,0,0,1,1
49,48,26958,3,13,0,1,0,0,0,0,0
4600,32,50970,2,15,0,1,0,0,0,0,1
50,43,39612,2,12,0,1,1,0,0,0,1
-1951,31,24012,2,13,0,1,1,0,0,0,0
-2854,54,28059,5,16,0,1,1,0,0,1,0
0,27,16200,1,12,0,0,0,0,0,0,0
1800,45,14850,2,12,0,0,0,0,0,0,1
41499,58,20976,1,13,0,0,0,0,0,0,1
-3386,29,16902,7,1,0,1,0,0,0,0,0
-400,63,11877,3,12,0,0,0,0,0,0,0
-6397,43,11103,4,14,0,0,0,0,0,0,0
-1700,29,39051,1,16,0,0,0,0,0,0,0
-500,51,19968,2,18,0,0,0,0,0,0,1
-225,44,42744,2,13,1,1,1,0,0,0,0
8400,38,78396,4,16,0,1,1,0,0,1,1
-11635,37,34803,5,11,0,1,1,0,0,0,1
2750,44,10446,5,12,0,1,0,0,0,0,1
67600,44,34755,4,1,0,1,0,0,0,0,1
31,29,15174,4,12,0,0,0,0,0,0,1
-165,37,20421,1,13,0,0,0,0,0,0,0
28999,42,55110,4,12,0,1,1,0,0,1,1
500,38,28050,4,12,0,1,0,0,0,0,1
50,40,12120,4,12,1,0,0,0,0,0,1
0,31,28080,3,12,0,1,1,0,0,0,1
-101436,31,42555,3,13,0,1,1,0,0,0,0
3399,31,37509,1,16,0,0,0,0,0,0,0
0,35,9042,1,12,1,0,0,0,0,0,0
4210,42,57180,4,18,0,1,1,0,0,0,1
131,39,11604,3,18,0,1,1,0,0,0,1
-1804,27,23400,3,5,0,1,1,0,0,0,0
259,62,20622,1,16,0,0,0,0,0,0,1
599,27,10836,3,14,0,0,0,0,0,0,1
1490,38,12816,4,10,0,1,0,0,0,0,1
3450,33,43830,3,15,0,1,1,0,0,1,1
2225,60,22986,2,12,0,1,1,0,0,1,1
3000,60,37794,2,13,0,1,1,0,0,1,0
100,52,4890,1,10,0,0,0,0,0,0,1
294,61,19545,3,12,0,1,1,0,0,0,1
700,31,19860,1,14,0,0,0,0,0,0,0
52000,61,13206,4,12,0,0,0,0,0,1,1
89900,49,23250,1,12,0,0,0,0,0,1,1
1258,34,60615,4,14,0,1,1,0,0,1,1
4000,31,23529,1,16,1,0,0,0,0,0,0
3800,29,37704,3,12,0,1,1,0,0,0,1
8199,33,24612,5,6,0,0,0,0,0,0,1
-13600,33,38550,3,14,0,1,1,0,0,1,0
195000,44,128700,4,17,1,1,1,0,0,1,1
-450,31,12816,4,12,0,0,0,0,0,0,0
0,47,37800,2,14,0,0,0,0,0,0,1
-7451,40,17880,3,12,0,0,0,0,0,0,0
-7920,41,19641,3,12,0,0,0,0,0,0,1
0,36,5103,2,12,0,0,0,0,0,0,0
30,29,12756,1,12,0,0,0,0,0,0,0
0,33,4845,3,12,0,0,0,0,0,0,0
12192,27,31830,3,15,0,1,1,0,0,1,1
99,42,23430,5,13,0,0,0,0,0,0,0
900,36,42114,6,15,0,1,1,0,0,0,0
5000,32,11100,5,1,0,1,0,0,0,0,0
0,26,5280,1,12,0,0,0,0,0,0,1
-6301,39,37569,4,12,0,1,1,0,0,0,0
24900,45,43239,1,12,1,0,0,0,0,1,1
59061,63,71184,2,12,0,1,1,0,0,1,1
-350,31,59544,4,16,1,1,1,0,0,0,1
0,30,4200,6,11,1,0,0,0,0,0,0
0,46,7668,2,8,0,0,0,0,0,0,1
0,55,7872,2,11,0,0,0,0,0,0,0
-2100,38,31896,5,15,1,1,1,0,0,0,1
0,25,14439,3,9,0,1,0,0,0,0,0
3899,34,19713,3,12,0,1,0,0,0,0,0
28000,41,31254,1,18,1,0,0,0,0,0,1
62300,35,63525,1,18,0,0,0,0,0,1,0
-6600,43,31800,3,12,1,0,0,0,0,0,1
-451,60,24996,4,10,1,1,1,0,0,0,1
0,51,36450,3,12,0,1,0,0,0,0,1
2600,60,21072,2,15,0,1,1,0,0,0,0
200,49,18012,2,12,0,0,0,0,0,0,1
-600,42,12240,3,12,0,1,0,0,0,0,0
734,53,31386,3,12,0,1,0,0,0,0,1
-4850,34,21645,2,14,1,0,0,0,0,0,0
-633,56,17724,3,13,0,1,0,0,0,0,1
14800,53,37482,3,12,0,1,1,0,0,1,1
-3300,58,27639,2,10,0,1,0,0,0,0,1
360,26,30720,1,16,0,0,0,0,0,0,1
2549,38,18438,6,11,0,1,0,0,0,0,0
-800,38,19125,7,12,0,1,0,0,0,0,0
12000,35,13704,6,12,0,1,0,0,0,1,1
749,53,34185,1,12,1,0,0,0,0,0,1
-40300,28,51660,1,18,0,0,0,0,0,0,1
0,35,1920,4,12,0,1,0,0,0,0,0
-3650,37,20424,4,11,0,1,0,0,0,0,1
-400,34,21600,3,13,0,1,1,0,0,0,0
4700,36,56118,1,16,1,0,0,0,0,1,1
-425,28,20148,5,12,1,1,1,0,0,0,0
-1150,44,16806,3,12,0,1,0,0,0,0,1
-1093,31,13317,4,15,0,1,1,0,0,0,1
-100,31,20475,1,17,0,1,0,0,0,0,0
-3000,51,8730,2,12,0,1,0,0,0,0,1
-150,28,19500,1,12,0,0,0,0,0,0,0
-16000,54,27858,4,6,0,1,0,0,0,0,1
-1700,36,41694,2,14,1,1,1,0,0,0,1
0,40,8850,1,12,0,0,0,0,0,0,0
0,29,7650,1,12,0,0,0,0,0,0,0
7499,25,51450,2,12,0,0,0,0,0,0,1
-57200,47,10542,2,12,0,1,0,0,0,0,1
0,49,15300,1,15,0,0,0,0,0,0,0
86500,35,102171,4,18,1,1,0,0,0,1,1
-5100,40,45231,3,13,0,0,0,0,0,0,1
-2674,30,13152,3,10,0,0,0,0,0,0,1
37316,38,27813,3,11,0,1,1,0,0,1,1
6048,49,39123,3,12,0,1,1,0,0,0,1
-2200,32,36150,4,12,0,1,1,0,0,0,1
110,52,39219,2,12,0,1,0,0,0,0,1
-300,55,10800,3,12,0,0,0,0,0,0,1
20649,58,20235,2,10,0,1,0,0,0,1,1
-13300,38,62703,5,12,0,1,1,0,0,0,1
310,43,23490,1,14,0,0,0,0,0,0,1
-150,27,15888,2,12,0,0,0,0,0,0,1
-9001,25,33729,1,18,0,0,0,0,0,0,0
1875,29,55845,2,12,0,1,1,0,0,0,1
-650,40,19209,2,15,0,0,0,0,0,0,1
656,59,23976,2,14,0,1,0,0,0,0,1
-32887,35,57156,4,12,0,1,1,0,0,0,1
0,43,13743,1,12,0,0,0,0,0,0,0
-11900,39,7470,1,12,1,0,0,0,0,0,0
2550,36,77940,4,15,0,1,1,0,0,0,1
-69300,46,16200,5,12,0,1,1,0,0,0,1
3700,26,10404,1,9,0,0,0,0,0,0,1
0,54,27240,5,16,1,0,0,0,0,0,0
250,56,35742,3,12,0,1,0,0,0,0,1
3660,63,28272,4,8,0,1,0,0,0,0,1
39000,62,58272,1,11,1,0,0,0,0,0,1
-1246,42,14307,6,12,0,1,0,0,0,0,0
215750,41,66018,3,16,0,0,0,0,0,0,1
-40650,38,6750,2,14,0,0,0,0,0,1,0
130,42,27000,1,13,1,0,0,0,0,0,1
11800,55,21801,3,12,1,0,0,0,0,1,1
8000,45,36495,3,12,1,0,0,0,0,0,0
469400,61,172092,2,12,0,1,0,0,0,1,1
1599,64,6498,1,13,0,0,0,0,0,0,0
1225,35,24549,1,14,1,0,0,0,0,0,0
1006499,40,82251,5,18,0,1,0,0,0,0,1
-1000,32,53796,5,17,0,1,0,0,0,0,0
-148,60,7650,1,6,0,0,0,0,0,0,1
-3500,42,38817,2,12,0,1,1,0,0,0,1
2398,31,19284,1,14,1,0,0,0,0,0,0
-3500,41,18675,2,14,0,0,0,0,0,0,1
20840,48,91230,3,12,1,1,1,0,0,1,1
-1600,53,21816,1,10,1,0,0,0,0,0,0
97333,63,44799,2,12,0,1,0,0,0,1,0
4200,28,48060,4,15,0,1,1,0,0,1,1
43399,55,76077,3,12,1,1,1,0,0,1,1
5692,33,49845,2,18,0,1,1,0,0,1,1
4000,31,27708,3,13,0,1,0,0,0,1,0
25,29,14670,1,12,0,0,0,0,0,0,0
-334,43,34299,2,18,0,0,0,0,0,0,1
11658,38,4584,3,12,0,0,0,0,0,1,1
0,28,19170,4,14,0,1,1,0,0,0,0
16069,39,45762,4,17,0,1,0,0,0,1,1
18000,52,21435,1,12,1,0,0,0,0,1,1
250,57,39312,1,16,0,0,0,0,0,0,1
6807,32,19035,4,12,1,1,0,0,0,0,1
975,42,6639,1,12,0,0,0,0,0,1,1
-4960,27,17004,3,13,0,0,0,0,0,0,0
184500,36,118401,4,16,0,1,0,0,0,1,1
20600,61,68220,2,12,0,1,1,0,0,1,1
1500,33,16290,1,12,1,0,0,0,0,0,0
-2650,38,29481,5,14,0,1,1,0,0,0,1
10499,35,15144,4,15,0,1,0,0,0,1,0
9645,33,22050,2,14,0,0,0,0,0,0,0
5021,54,9600,3,12,0,1,0,0,0,0,1
1200,30,22362,1,13,0,0,0,0,0,0,0
-9000,40,14241,5,14,0,0,0,0,0,0,0
1940,53,39192,2,10,0,1,1,0,0,1,1
-9700,56,37869,3,11,0,1,1,0,0,0,1
-1840,33,44388,5,12,0,1,0,0,0,0,1
93521,54,52770,5,14,0,1,0,0,0,1,1
1000,35,21450,5,12,0,1,0,0,0,0,1
-160,36,9270,4,12,0,0,0,0,0,0,0
-1200,25,28830,1,13,0,0,0,0,0,0,0
0,61,3636,1,9,0,0,0,0,0,0,0
2399,50,22200,1,12,1,0,0,0,0,0,1
65897,56,39546,1,12,0,0,0,0,0,1,1
-3690,43,37146,2,18,1,0,0,0,0,0,1
42800,53,32559,3,12,0,1,1,0,0,1,1
1200,29,15372,1,12,0,0,0,0,0,0,0
-6569,25,14484,4,11,0,1,0,0,0,0,1
300,36,57624,1,12,0,0,0,0,0,0,1
15600,25,17793,1,18,0,0,0,0,0,0,0
4000,49,48168,1,12,1,0,0,0,0,0,1
1600,27,74970,5,12,0,1,0,0,0,0,1
33926,59,43605,3,12,0,1,0,0,0,1,1
0,45,2400,3,12,0,1,0,0,0,0,0
21550,61,28926,5,16,0,1,1,0,0,1,1
-250,41,31800,1,12,1,0,0,0,0,0,0
8550,59,31350,1,12,0,0,0,0,0,1,0
7500,60,43320,4,12,0,1,1,0,0,0,1
-6600,32,52041,1,16,1,1,0,0,0,0,1
-299750,42,53514,4,10,0,1,1,0,0,0,1
0,42,16860,1,8,0,0,0,0,0,0,1
0,28,6006,2,10,0,0,0,0,0,0,0
-5100,31,33513,7,11,0,1,1,0,0,0,0
4249,26,35325,2,12,0,0,0,0,0,0,1
-2225,60,22440,2,12,0,1,1,0,0,0,1
125,43,13896,2,12,0,0,0,0,0,0,1
-4300,43,20583,4,16,1,0,0,0,0,0,0
35900,33,39351,1,18,0,0,0,0,0,1,0
400,58,12090,2,12,0,0,0,0,0,0,0
46800,58,24804,2,12,0,0,0,0,0,1,1
635,25,21630,1,16,0,0,0,0,0,1,0
-8388,28,28530,3,12,0,1,1,0,0,1,1
4200,41,48336,2,17,1,0,0,0,0,0,1
0,31,12588,6,12,0,1,1,0,0,0,0
1200,27,30162,5,8,0,1,0,0,0,0,0
6200,49,19809,3,12,1,0,0,0,0,0,0
-2200,30,14787,3,16,0,0,0,0,0,0,0
500,49,20430,1,13,0,0,0,0,0,0,0
45,38,11082,4,17,0,0,0,0,0,0,0
26200,59,28284,2,12,0,1,0,0,0,0,1
-8500,31,30315,4,13,0,1,0,0,0,0,1
300,42,35700,2,12,0,0,0,0,0,0,0
1700,45,45270,4,11,0,1,0,0,0,0,1
100,48,23412,6,12,0,1,0,0,0,0,1
25,34,12291,1,12,0,0,0,0,0,0,0
-8000,47,39432,5,12,1,1,1,0,0,0,1
-2752,61,49992,2,12,0,1,0,0,0,0,1
-7100,31,58122,2,16,1,1,1,0,0,0,0
0,61,25092,4,12,0,0,0,0,0,0,1
86030,40,43203,4,12,0,1,1,0,0,1,1
0,32,19200,1,14,0,0,0,0,0,0,0
16699,26,29700,1,16,1,1,0,0,0,0,0
-14551,36,104343,3,18,1,1,1,0,0,0,0
1000,63,19764,6,12,1,0,0,0,0,0,1
-3570,49,3840,2,14,0,1,0,0,0,0,1
57500,35,81075,3,14,0,1,0,0,0,1,1
-300,39,33078,1,16,0,0,0,0,0,0,0
-16700,35,65010,4,14,0,1,1,0,0,0,0
1100,60,30639,3,13,1,1,0,0,0,0,1
3000,42,50937,5,14,0,1,1,0,0,0,1
28000,53,108258,3,16,0,1,1,0,0,1,1
7700,52,73110,2,16,1,1,1,0,0,1,1
-3605,31,17127,2,12,0,1,0,0,0,0,1
93501,48,79053,2,12,0,1,0,0,0,1,1
-400,38,17700,1,12,0,0,0,0,0,0,1
0,33,12240,6,10,0,1,0,0,0,0,0
16549,26,11118,3,13,0,0,0,0,0,0,0
120000,40,124932,4,17,0,1,1,0,0,1,1
82200,25,28209,1,16,0,0,0,0,0,1,0
48800,26,86820,1,18,0,0,0,0,0,1,0
0,49,9612,2,12,0,0,0,0,0,0,0
25,34,8400,3,13,0,1,0,0,0,0,0
-3300,31,28146,5,12,0,1,0,0,0,0,1
-7000,38,8130,5,12,0,0,0,0,0,0,0
300,30,22722,1,16,0,0,0,0,0,0,0
100,25,7044,4,5,0,1,0,0,0,0,0
-15141,49,69555,4,18,1,1,1,0,0,0,1
2258,32,13866,2,12,0,0,0,0,0,0,0
-150,54,5400,2,12,0,0,0,0,0,0,1
5649,45,35580,3,12,0,1,1,0,0,1,1
-1,35,21630,5,11,1,0,0,0,0,0,0
900,36,17820,4,12,0,1,0,0,0,0,1
20000,32,28980,1,16,0,0,0,0,0,0,0
137000,39,54900,3,18,0,1,0,0,0,1,1
21000,35,92277,4,12,0,1,1,0,0,0,1
346749,57,128550,2,16,0,1,0,0,0,1,1
1800,52,19050,4,12,0,1,1,0,0,0,1
-3000,34,46053,4,12,0,1,1,0,0,0,1
17000,35,19464,4,12,1,0,0,0,0,0,1
28057,39,36522,2,14,0,1,1,0,0,1,1
16500,31,25560,3,16,0,1,0,0,0,0,0
5500,39,29265,3,10,1,1,1,0,0,0,1
-1000,27,15300,1,12,0,0,0,0,0,0,0
10000,36,38100,1,16,0,0,0,0,0,1,0
21050,37,47109,3,13,0,1,1,0,0,0,1
0,32,36000,5,18,0,1,0,0,0,0,0
23700,39,32100,1,16,1,0,0,0,0,1,1
-151,40,49209,1,12,1,0,0,0,0,0,0
-3000,41,20400,3,11,0,1,0,0,0,0,1
0,40,13896,7,8,0,1,0,0,0,0,0
-400,30,8400,2,12,0,0,0,0,0,0,0
9199,49,101946,6,12,0,1,1,0,0,0,1
0,39,13212,5,12,0,0,0,0,0,0,1
50,36,13821,2,14,0,0,0,0,0,0,1
79700,57,43350,2,12,0,1,0,0,0,1,1
41999,38,51798,2,14,0,0,0,0,0,0,1
1000,29,19254,3,14,0,0,0,0,0,0,1
0,53,9990,1,12,0,0,0,0,0,0,0
46500,33,41712,4,12,0,1,0,0,0,0,1
-3100,28,21450,3,14,0,1,1,0,0,0,1
34112,57,67098,1,18,1,0,0,0,0,1,1
-200,31,19056,5,12,1,1,0,0,0,0,0
-4199,27,44508,3,12,0,1,1,0,0,0,0
200,38,8406,3,13,0,1,0,0,0,0,1
0,28,10506,5,4,0,1,0,0,0,0,0
2700,31,16527,1,12,0,0,0,0,0,0,0
-6501,47,33780,5,13,0,1,1,0,0,0,1
126098,52,103164,6,18,1,1,1,0,0,1,1
-5901,52,67746,3,18,1,1,1,0,0,0,1
-409000,40,115584,2,14,0,1,1,0,0,0,1
-4900,28,20460,1,12,0,0,0,0,0,0,0
1200,32,29700,3,12,0,0,0,0,0,0,1
2999,56,16092,4,8,0,1,0,0,0,0,1
-11950,43,25371,1,12,0,0,0,0,0,0,1
-2900,51,35487,1,16,1,0,0,0,0,0,1
-3970,45,64791,4,14,1,1,1,0,0,0,0
-1915,60,25134,5,12,0,1,0,0,0,0,1
0,54,44616,3,11,0,1,1,0,0,0,1
-12900,34,29250,1,18,0,0,0,0,0,0,1
0,40,27840,2,12,0,0,0,0,0,0,0
0,36,3246,3,4,0,0,0,0,0,0,1
-1334,31,36153,5,14,0,1,0,0,0,0,1
76850,50,38400,2,12,0,1,1,0,0,1,1
0,27,14655,3,12,0,0,0,0,0,0,0
5,33,19200,1,13,1,0,0,0,0,0,0
26000,36,77010,4,16,0,1,1,0,0,1,1
32000,45,80550,3,13,1,1,1,0,0,1,0
7900,34,56787,3,16,0,1,1,0,0,0,1
-30240,25,85380,4,1,0,1,1,0,0,0,0
-300,58,19986,3,11,0,1,0,0,0,0,1
-3900,26,57975,1,16,0,0,0,0,0,0,1
-800,27,28965,5,12,0,1,1,0,0,0,1
-1214,33,9090,4,5,0,1,0,0,0,0,0
2700,40,58974,5,16,1,1,1,0,0,1,1
10399,40,29622,2,12,1,0,0,0,0,1,1
0,48,10200,1,13,0,0,0,0,0,0,0
-5400,55,23166,3,12,1,1,1,0,0,0,1
2499,45,39207,3,15,1,0,0,0,0,0,1
-10500,57,8190,2,12,0,1,0,0,0,0,1
3600,31,31800,4,16,0,1,0,0,0,0,1
300,27,32040,4,12,0,1,1,0,0,0,0
3955,31,23562,1,12,0,0,0,0,0,0,0
-1340,37,26553,2,12,1,0,0,0,0,0,1
2499,56,56940,1,18,1,0,0,0,0,1,1
700,27,28845,2,12,0,0,0,0,0,0,0
-6920,37,20403,1,6,0,0,0,0,0,0,0
70335,54,23832,3,13,1,1,0,0,0,0,1
-959,31,20418,4,12,0,1,0,0,0,0,0
5020,43,10980,3,12,0,0,0,0,0,0,1
500,45,20430,4,12,0,0,0,0,0,0,1
0,46,28800,2,12,1,0,0,0,0,0,1
1024,26,42738,3,15,0,1,1,0,0,0,1
19,34,11091,4,10,0,0,0,0,0,0,0
